胶原蛋白软胶囊(奈世康)买二赠一	￥0.01
1726佳洁士防蛀修护牙膏	￥8.20
庆大霉素普鲁卡因维B12胶囊	￥8.20
复方氨酚烷胺胶囊(快克)	￥8.20
爽身止痒防蚊虫 先声再康花露水（12周年庆版）（夏令）	￥8.30
辅酶Q10胶囊	￥8.30
缓解普通感冒及流行性感冒 复方氨酚烷胺胶囊（华润三九）	￥8.30
复方利血平氨苯蝶啶片(北京降压0号)	￥8.30
石斛夜光丸	￥8.30
上感消炎 上海现代制药股份 头孢拉定分散片(申优)	￥8.40
心脏病 丽珠集团 心通口服液	￥8.50
逍遥丸 H马鞍山天福康药业有限公司	￥8.50
眼睛消炎-润舒氯霉素滴眼液	￥8.50
盐酸溴已新片	￥8.50
中华健齿白牙膏	￥8.50
罗红霉素分散片(严迪)	￥8.50
制霉素阴道栓 美尔杰	￥8.50
全天麻胶囊(神奇)	￥8.50
高血压-卡托普利片	￥8.50
高血压-苯磺酸氨氯地平片	￥8.50
调节血糖 北京圣永制药 盐酸二甲双胍肠溶胶囊(君力达)	￥8.50
钩边绣花毛巾	￥8.50
血塞通分散片(方盛)	￥8.50
中华跌打丸	￥8.50
正柴胡饮颗粒(宁宁)	￥8.50
酚咖片(加合百服宁)	￥8.50
比沙可定片(便塞停)	￥8.50
伤湿止痛膏(下山虎)	￥8.50
碘伏消毒液	￥8.50
焦麦芽(易拉盖包装)(彭祖)	￥8.50
六神沐浴露(冰片冰凉超爽)	￥8.60
开胸消食片(云丰)	￥8.60
通宣理肺片(云丰)	￥8.60
香砂养胃丸	￥8.60
知柏地黄丸(天福康)	￥8.60
头孢克肟颗粒	￥8.70
三七花	￥8.76
高胆固醇血症和动脉粥样硬化性-复方亚油酸乙酯胶丸	￥8.80
维C银翘片(奥邦)	￥8.80
5421佳洁士双效炫白牙膏	￥8.80
厄贝沙坦片	￥8.80
消炎止咳片	￥8.80
少林跌打止痛膏	￥8.80
泌尿系统感染 扬子江 盐酸左氧氟沙星胶囊(左克)	￥8.80
醋酸甲羟孕酮片 仙琚	￥8.80
头孢克洛干混悬剂(欣可诺)	￥8.80
正红花油(真龙)	￥8.80
骨肽片(骨宁)	￥8.80
健脾丸(仲景)	￥8.80
麝香壮骨膏(下山虎)	￥8.80
西地碘含片(华素片)	￥8.80
复方冬凌草含片	￥8.80
银黄含片	￥8.80
尿素乳膏(伊人)	￥8.80
复方苦参水杨酸散(足光粉)(促光)  五折	￥8.80
冠心苏合丸(世一堂)	￥8.90
高血压 常州四药 非洛地平缓释片(波啡克)	￥8.90
乌鸡白凤丸  同仁堂  月经不调 水蜜丸	￥8.90
复方盐酸阿米洛利片(武都力)	￥8.90
棉卷(稳健)	￥8.90
过敏性和自身免疫性炎症性疾病 三九胃泰颗粒（华润三九）	￥9.00
香砂养胃丸	￥9.00
抗病毒口服液(新海店)	￥9.00
清凉油	￥9.00
利巴韦林颗粒(新博林)	￥9.00
氯氮平片	￥9.00
护膝	￥9.00
晕车晕船 海南宝元堂 B乐行晕车贴	￥9.00
高胆固醇血症-辛伐他汀胶囊(新达苏)	￥9.00
浓缩当归丸 月经不调 仲景	￥9.00
敷料镊子(无钩)	￥9.00
黄豆苷元片	￥9.00
盐酸洛美沙星滴眼液(圣元)	￥9.00
双黄连口服液	￥9.00
小柴胡颗粒	￥9.00
氢溴酸右美沙芬片(白云山)	￥9.00
盐酸小檗碱片	￥9.00
耳聋左慈丸	￥9.00
婴儿细纸棒棉签(棒棒棉)	￥9.00
三七	￥9.00
小儿氨酚黄那敏颗粒	￥9.10
龟板	￥9.13
马来酸多潘立酮片(优玛琳)	￥9.20
强力天麻杜仲胶囊	￥9.20
正红花油(永龙)	￥9.20
盐酸氨溴索片(兰苏)	￥9.20
蛇胆川贝液(潘高寿)	￥9.20
小儿氨酚黄那敏颗粒(护彤)	￥9.20
飘柔家庭护理滋养洗发露	￥9.40
盐酸左氧氟沙星胶囊(联邦左福康)	￥9.40
抗疲劳 万基洋参含片	￥9.50
高血压 常州制药厂 复方卡托普利片	￥9.50
复方氨酚烷胺胶囊(万立克)	￥9.50
晕车贴洋金花精油贴	￥9.50
消肿片 消肿拔毒	￥9.50
飘柔长效清爽洗发露	￥9.50
酚咖黄烷胺片(新海店)	￥9.50
飘柔长效洁顺洗发露	￥9.50
美扑伪麻片(新康泰克)	￥9.50
胖大海(彭祖)	￥9.50
替米沙坦片(提愈)	￥9.50
追风透骨丸	￥9.50
马勃	￥9.50
防雾霾 医用护理口罩(10只装)(稳健)	￥9.50
胃溃疡-奥美拉唑肠溶胶囊	￥9.50
清热解毒 牛黄解毒片（昆中）	￥9.50
抗宫炎片 玉清300 盆腔炎	￥9.50
六神花露水	￥9.50
罗红霉素胶囊(仁苏)	￥9.50
复方磺胺甲噁唑片	￥9.50
阿司匹林缓释片(塞宁)	￥9.50
维生素E烟酸酯胶囊(多多)	￥9.50
格列齐特片	￥9.50
阿昔洛韦凝胶(洛芙)	￥9.50
复方鲜竹沥液	￥9.50
复方锌布颗粒剂(臣功再欣)	￥9.50
治咳川贝枇杷露(潘高寿)	￥9.50
盐酸西替利嗪片(达内)(中大)  五折	￥9.50
妇炎洁洗液	￥9.50
弹盖白色纸棒棉签(棒棒棉)	￥9.50
头孢克肟胶囊	￥9.60
金胆片	￥9.60
三七伤药片	￥9.60
急支糖浆	￥9.60
糖尿病-格列吡嗪缓释片	￥9.70
头孢羟氨苄胶囊(美庆)	￥9.70
醋龟板	￥9.78
晕车 晕船 晕机 咸阳秦昆生物医学工程有限公司 晕车贴（水凝胶柠檬精油贴）	￥9.80
皲裂贴	￥9.80
广东凉茶王	￥9.80
感清糖浆	￥9.80
藿香正气水(齐天德)	￥9.80
薄荷喉片	￥9.80
天王补心丸	￥9.80
强力枇杷露	￥9.80
感冒止咳糖浆(普正)	￥9.80
明目地黄丸	￥9.80
六味地黄丸(天福康)	￥9.80
养胃颗粒(无糖型)	￥9.80
多潘立酮片(佳乐安)	￥9.80
麻杏止咳胶囊(陇神)	￥9.80
咳速停胶囊	￥9.80
追风透骨丸	￥9.80
氯酚黄敏片(信克)	￥9.80
胃康灵胶囊	￥9.80
正柴胡饮颗粒(宁宁)	￥9.80
复方鲜竹沥液	￥9.80
杞菊地黄丸(天福康)	￥9.80
伤湿止痛膏(云南白药)	￥9.80
富马酸酮替芬滴鼻液	￥9.80
左归丸	￥9.80
方盒花色细纸棒棉签(棒棒棉)	￥9.80
抗疲劳 厦门 金日西洋参含片	￥9.90
风热感冒，发烧，头痛 感冒清胶囊	￥9.90
圆桶装沐浴纸棒棉签(棒棒棉)	￥9.90
石斛	￥9.90
测量怀孕 深圳 早孕试纸(淑女)	￥9.90
伤湿止痛膏(精装)	￥9.90
西地碘含片(石药)	￥9.90
三七和营止血 通脉行瘀血而敛新血 云南 三七	￥10.00
消炎、镇痛，清凉、止痒（精气神）（夏令）	￥10.00
氨酚伪麻片(Ⅱ)(双解)(新海店)	￥10.00
蛇胆川贝液(三精)	￥10.00
多潘立酮片(新海店)	￥10.00
消食养胃片(新海店)	￥10.00
灵芝孢子粉	￥10.00
丹参片(沪春堂)	￥10.00
感冒清胶囊	￥10.00
灭菌结晶磺胺(消炎粉)	￥10.00
萘敏维滴眼液	￥10.00
胃康灵胶囊(新海店)	￥10.00
罗汉果	￥10.00
克拉霉素片(新海店)	￥10.00
野生天麻	￥10.00
西洋参节	￥10.00
加替沙星胶囊(百科沙)	￥10.00
万痛筋骨贴	￥10.00
麝香壮骨膏(新海店)	￥10.00
甘草(易拉盖包装)(彭祖)  10元换购	￥10.00
罗汉果   10元换购	￥10.00
绞股蓝(易拉盖包装)(彭祖)   10元换购	￥10.00
杭白菊(易拉盖包装)(彭祖)  10元换购	￥10.00
贡菊(易拉盖包装)(彭祖)  10元换购	￥10.00
同仁堂决明子(精装)   10元换购	￥10.00
丹参(易拉盖包装)(彭祖)   10元换购	￥10.00
大枣(康美)  10元换购	￥10.00
同仁堂山楂(精装)  10元换购	￥10.00
柠檬(沪春堂)  10元换购	￥10.00
感冒灵胶囊(新海店)	￥10.00
酚麻美敏片(泰诺)	￥10.00
男用小便壶(绿色)	￥10.00
普乐安胶囊	￥10.00
皮肤病血毒丸	￥10.00
三七	￥10.00
夫妻避孕 新天使避孕套(激情系列极限超薄装)	￥10.00
皮肤科及妇科用药类 硝酸咪康唑乳膏（华润三九）	￥10.00
高血压 海南澳美华制药 缬沙坦胶囊 (怡方)	￥10.00
清热解毒，凉血利咽  华葆 板蓝根颗粒（夏令）	￥10.00
解表散热，疏肝和胃 小柴胡颗粒	￥10.00
K1新天使避孕套(激情系列爽滑倍润装)	￥10.00
K1新天使避孕套(激情系列温馨浮点装)	￥10.00
早早孕检测试纸 伊健仕	￥10.00
海诺创可贴(经济型)	￥10.00
快胃片(薄膜衣片)	￥10.00
强力止咳宁胶囊(三木)	￥10.00
尼莫地平片	￥10.00
阿魏酸哌嗪片(葆盛慷)	￥10.00
氨咖黄敏胶囊	￥10.00
维A酸乳膏(迪维)	￥10.00
猴头菌片	￥10.00
香砂养胃丸(仲景)	￥10.00
盐酸氨溴索口服溶液	￥10.00
补脾益肠丸	￥10.00
肌苷口服溶液(康裕)	￥10.00
金果饮咽喉片(新海店)	￥10.00
复方酮康唑软膏(康王)	￥10.00
M风油精(精气神)	￥10.00
黄连上清片	￥10.00
康顾多纸棒棉签	￥10.00
山楂(易拉盖包装)(彭祖)	￥10.00
决明子(易拉盖包装)(彭祖)	￥10.00
叶酸片 玉川	￥10.20
酚氨咖敏胶囊	￥10.20
萘敏维滴眼液(闪亮)	￥10.20
三七和营止血 通脉行瘀 行瘀血而敛新血三七	￥10.28
三七	￥10.28
新力士沐浴露	￥10.30
头孢克洛干混悬剂(再克)	￥10.30
支气管炎 肺炎 普洛康裕制药头孢拉定胶囊	￥10.30
高血压 阿斯利康制药 酒石酸美托洛尔片	￥10.30
维A酸乳膏	￥10.30
麝香镇痛膏(康恩贝)	￥10.40
清肺化痰丸	￥10.40
知柏地黄丸(片仔癀)	￥10.40
小儿感冒颗粒(备克)	￥10.50
肚痛泄丸(奥松)	￥10.50
对乙酰氨基酚缓释片(倍乐信)(新海店)	￥10.50
消炎 山东淄博新达制药 头孢拉定胶囊（新达德雷）	￥10.50
洁云漫步森林抽取式面纸	￥10.50
抗菌消炎-阿莫西林颗粒	￥10.50
益母草颗粒 金鸡	￥10.50
大宝SOD滋润霜	￥10.50
头孢克肟分散片(先强严灵)	￥10.50
琥乙红霉素片(利君沙)	￥10.50
复方硫酸软骨素片	￥10.50
复方氨酚烷胺胶囊	￥10.50
维A酸乳膏(迪维)	￥10.50
强力枇杷露(泰华堂)	￥10.50
复方铝酸铋片(胃必治)	￥10.50
阿苯达唑片(史克肠虫清)	￥10.50
盐酸地芬尼多片(眩晕停片)	￥10.50
清热解毒 化湿消肿  湖北福人药业 金刚藤胶囊	￥10.60
清开灵滴丸	￥10.60
强力枇杷露	￥10.70
克拉霉素分散片(克顿宁)	￥10.70
复方陈香胃片(好医生)	￥10.70
克拉霉素片(泰华堂)	￥10.70
解热镇痛 华润三九 感冒灵胶囊	￥10.80
感冒用药 三九感冒灵胶囊（华润三九）	￥10.80
加味逍遥丸  北京同仁堂    舒肝清热，健脾养血	￥10.80
活血化瘀，理气止痛 黑龙江 复方丹参片	￥10.80
海诺创可贴(弹力型)	￥10.80
(新白加黑)氨酚伪麻美芬片II/氨麻苯美片	￥10.80
泛昔洛韦胶囊(彼欣)	￥10.80
布洛芬缓释胶囊(联邦缓士芬)	￥10.80
板蓝根颗粒	￥10.80
麝香壮骨膏	￥10.80
清火片(仙竹)	￥10.80
清开灵颗粒	￥10.80
汰渍全效360°洗衣粉	￥10.90
六味地黄丸(片仔癀)	￥10.90
复方盐酸伪麻黄碱缓释胶囊(新康泰克)	￥10.90
杜蕾斯避孕套(活力装)	￥10.90
氧氟沙星滴眼液(绿润舒)	￥10.90
蛇胆川贝枇杷膏(潘高寿)	￥10.90
盐桑螵蛸	￥10.94
解热镇痛 感冒灵颗粒（华润三九）	￥11.00
立白金桔洗洁精	￥11.00
胃痛定片(九鼎)	￥11.00
洁丽雅毛巾	￥11.00
益母草颗粒 端药  五折	￥11.00
云芝肝泰胶囊(云芝多糖)	￥11.00
六神花露水(冰芬香型)	￥11.00
六灵解毒丸	￥11.00
舒肤佳金银花/菊花沐浴露	￥11.00
防护 一次性使用薄膜手套	￥11.00
化瘀止血，活血止痛，解毒消肿 云南白药	￥11.00
茶碱缓释片	￥11.00
大黄蛰虫丸	￥11.00
盐酸洛美沙星滴眼液(新海店)	￥11.00
左氧氟沙星滴眼液(新海店)	￥11.00
小柴胡颗粒(太极)	￥11.00
布洛芬混悬液(恬倩)	￥11.00
枇杷止咳胶囊(神奇)	￥11.00
小儿止咳糖浆(克刻)	￥11.00
小儿氨酚烷胺颗粒(好娃娃)	￥11.00
六味地黄丸(云丰)	￥11.00
苦丁茶(易拉盖包装)(彭祖)	￥11.00
咳喘宁片	￥11.20
金匮肾气丸(新海店)	￥11.20
联苯苄唑乳膏	￥11.20
眩晕-甲磺酸倍他司汀片	￥11.30
黄连上清丸	￥11.30
0246雷达电热蚊香片(12型)	￥11.40
滋养胃阴 生津止渴 兼能清胃热 枫斗	￥11.45
蓝月亮野菊花洗手液	￥11.50
茉莉花(沪春堂)	￥11.50
舒肤佳(柠檬)沐浴露	￥11.50
甲硝唑VB6片(迪沙)	￥11.50
白云山感冒灵颗粒(新海店)	￥11.50
8210舒肤佳纯白清香型健康沐浴露	￥11.50
舒肤佳薄荷冰怡沐浴露	￥11.50
贞芪扶正颗粒	￥11.50
愈美颗粒(华芬)	￥11.50
抗疲劳 保湿 山东博士伦 润洁萘敏维滴眼液	￥11.50
消炎 香港联邦 阿莫西林胶囊(阿莫仙)	￥11.50
马来酸依那普利片(依苏)	￥11.50
泻停封胶囊	￥11.50
阿魏酸呱嗪片(保圣康)	￥11.50
复方硫酸软骨素滴眼液(蓝润洁)	￥11.50
金喉健喷雾剂	￥11.50
咽立爽口含滴丸(艾纳香)	￥11.50
马应龙麝香痔疮栓	￥11.50
丁酸氢化可的松软膏(尤卓尔)	￥11.50
六味地黄丸	￥11.50
白参须	￥11.51
桂林西瓜霜喷剂(三金)	￥11.60
附子理中丸	￥11.60
保和丸	￥11.60
山慈菇	￥11.66
高血压 浙江泰利森药业 硝苯地平缓释片	￥11.70
雷公藤多甙片	￥11.70
阿莫西林胶囊(阿莫仙)	￥11.70
胃病 江苏恒瑞 枸橼酸莫沙必利片	￥11.80
抗疲劳 厦门 金日洋参胶囊(白简)	￥11.80
辅安堂草本花水凝露(抑菌剂)	￥11.80
六神驱蚊花露水(冰莲香型)	￥11.80
灭害灵杀虫气雾剂(飘逸香型)	￥11.80
六神驱蚊花露水(薄荷花香)	￥11.80
草本花水凝露(辅仁堂)（夏令）	￥11.80
跌打红药片	￥11.80
盐酸西替利嗪片(适迪)	￥11.80
维胺酯维E乳膏(邦力)(曾用名：邦力痤疮王)	￥11.80
急性智齿冠周炎局部牙槽脓肿 石药集团 人工牛黄甲硝唑胶囊  五折	￥11.80
发热，头痛，鼻塞 金感胶囊	￥11.80
盐酸苯环壬酯片(飞赛乐)  五折	￥11.80
糖尿病-格列美脲片	￥11.80
活血化瘀，理气止痛-复方丹参片	￥11.80
心绞痛急性心肌梗塞 沈阳奥吉娜药业 阿司匹林肠溶片	￥11.80
心力衰竭 江苏正大丰海制药 安体舒通片(螺内酯片)	￥11.80
感冒 云南滇中药业 感冒灵颗粒	￥11.80
凉血止血，清热解毒 烟台荣昌制药 肛泰栓(荣昌肛泰)	￥11.80
胃复春片	￥11.80
障翳散	￥11.80
乳酸菌素片(童俏俏)	￥11.80
复方瓜子金颗粒	￥11.80
四季三黄片(仙竹)	￥11.80
清开灵胶囊	￥11.80
诗洁皮肤粘膜消毒液(舒适型女士洗液)	￥11.80
散结消肿化瘀止痛  九芝堂金鼎药业 小金丸	￥11.90
清风抽取式面纸(经济装)	￥11.90
丁酸氢化可的松乳膏(舒夫林)(新海店)	￥11.90
除湿祛痰，活血化瘀，健脾消食-血脂康胶囊	￥11.90
活血祛瘀，通脉活络， 云南金泰得 血塞通片(糖衣片)	￥11.90
避孕套(挚爱装) 杜蕾斯	￥11.90
羚贝止咳糖浆	￥11.90
京万红软膏	￥11.90
丁酸氢化可的松软膏(邦力)	￥11.90
玄麦甘桔颗粒太极	￥12.00
降低受孕风险减少性传播疾病 冈本株式会社 冈本天然胶乳橡胶避孕套（超润滑）	￥12.00
抗疲劳  金日洋参胶囊(金简)	￥12.00
补脾益肠丸（华润三九）	￥12.00
高血压  江苏联环 非洛地平片	￥12.00
关节炎 扬子江 美洛昔康片	￥12.00
牛黄解毒片	￥12.00
川贝清肺糖浆	￥12.00
雪梨膏	￥12.00
胃康灵胶囊	￥12.00
咳喘宁	￥12.00
小儿感冒颗粒	￥12.00
罗红霉素颗粒(乐喜清)	￥12.00
板蓝根颗粒	￥12.00
阿胶枣	￥12.00
洛索洛芬钠片(新海店)	￥12.00
对乙酰氨基酚片	￥12.00
胃痛定片(新海店)	￥12.00
消炎利胆片(千珍)	￥12.00
重庆制药九厂 关节止痛膏	￥12.00
复方南板蓝根片(云丰)	￥12.00
麝香壮骨膏(康恩贝)	￥12.00
三蛇胆川贝糖浆(新海店)	￥12.00
苦丁茶(条)(沪春堂)	￥12.00
断血流片（新海店） 安徽乘风 功能性子宫出血	￥12.00
腹可安片(薄膜衣)	￥12.00
抗疲劳 康富来洋参胶囊	￥12.00
热炎宁颗粒(正清)	￥12.00
玄麦甘桔颗粒	￥12.00
蒲地蓝消炎片  五折	￥12.00
小儿清热止咳口服液(石药)	￥12.00
三七	￥12.00
同仁堂木蝴蝶(精装)	￥12.00
同仁堂陈皮(精装)	￥12.00
活血祛瘀，通脉活络 云南省玉溪市维和制药 血塞通片	￥12.00
哮喘-茶新那敏片	￥12.00
同仁乌鸡白凤丸 月经不调	￥12.00
天然胶乳橡胶避孕套（纯） 冈本	￥12.00
敷料镊子(无钩)	￥12.00
头孢克肟分散片(笃定)	￥12.00
头孢克肟片(依克利尔)	￥12.00
人工牛黄甲硝唑胶囊	￥12.00
赖诺普利片	￥12.00
阿奇霉素分散片(阿宁)	￥12.00
罗红霉素胶囊(赛乐林)	￥12.00
苯磺酸氨氯地平片	￥12.00
茶碱缓释片(浪宁)	￥12.00
丙硫氧嘧啶片	￥12.00
珠黄吹喉散	￥12.00
风湿安泰片(辅仁)	￥12.00
复方氨酚烷胺胶囊(仁和可立克)	￥12.00
消炎片	￥12.00
氢溴酸右美沙芬口服溶液	￥12.00
消食养胃片	￥12.00
咳特灵胶囊  五折	￥12.00
氯雷他定片(常克)	￥12.00
金玛神麝香壮骨膏(新海店)	￥12.00
喉康散	￥12.00
小儿氨酚烷胺颗粒	￥12.00
金嗓开音丸	￥12.00
复方三七胶囊(新海店)	￥12.00
玄麦甘桔颗粒	￥12.00
咽炎片(吴太)	￥12.00
联苯苄唑乳膏(孚琪)	￥12.00
足光散	￥12.00
狼毒菌一净乳膏	￥12.00
力康霜(奇力康)	￥12.00
新开河红参	￥12.00
冈本天然胶乳橡胶避孕套（超润滑）	￥12.00
咽喉炎 西安碑林 金嗓散结丸	￥12.20
消积止咳-小儿消积止咳口服液	￥12.20
消炎药 四川制药 阿莫西林分散片	￥12.20
金嗓利咽丸	￥12.20
清肺化痰丸(昆中) 雾霾活动	￥12.20
黄狗肾	￥12.20
咳立停糖浆	￥12.30
复方酮康唑乳膏(显克欣)	￥12.30
白及	￥12.38
胃肠道疾病 康普 奥美拉唑肠溶胶囊	￥12.40
清开灵片(远力健)	￥12.50
抑制血小板聚集 阿司匹林肠溶片(拜阿司匹林)	￥12.50
高血压 陕西超群制药 马来酸氨氯地平片	￥12.50
风寒感冒颗粒	￥12.50
小儿咳喘灵颗粒	￥12.50
布洛芬缓释胶囊(新海店)	￥12.50
黄芪片(沪春堂)	￥12.50
喉痛灵片(新海店)	￥12.50
氟康唑胶囊	￥12.50
硝酸咪康唑软膏	￥12.50
复方鱼腥草片(新海店)	￥12.50
小儿化痰止咳颗粒(日田)	￥12.50
消肿、止血、止痛。消痔软膏（华润三九）	￥12.50
通窍鼻炎片	￥12.50
乌蛇止痒丸	￥12.50
健儿清解液	￥12.50
复方甘草片	￥12.50
辅酶Q10胶囊	￥12.50
愈美片	￥12.50
南板蓝根颗粒(普正)	￥12.50
盐酸曲普利啶胶囊(刻免)	￥12.50
腋臭（狐臭） 南洋西施兰联合企业 乌洛托品溶液	￥12.50
抗菌消炎-阿莫西林颗粒	￥12.50
饮食控制不满意 海南赞邦制药 格列吡嗪片	￥12.50
 清热利湿，活血止痛 河南龙都 肾石通颗粒(龙都)	￥12.50
苯磺酸氨氯地平片(亚邦贝迪)	￥12.50
非那雄胺片	￥12.50
晕可平糖浆	￥12.50
复方氨酚烷胺片(感康)	￥12.50
桑菊感冒颗粒(桐君阁)	￥12.50
感冒清热胶囊(新海店)	￥12.50
多潘立酮片(同邦)	￥12.50
脑心舒口服液	￥12.50
正红花油(斧標)	￥12.50
伤湿止痛膏(上山虎)	￥12.50
联苯苄唑凝胶(必伏)	￥12.50
大补阴丸	￥12.50
鹅掌风浸泡抑菌剂	￥12.50
绞股蓝(沪春堂)	￥12.50
广慈青橄榄良咽含片	￥12.60
阿莫西林胶囊	￥12.70
健胃消食片(江中)	￥12.70
健胃消食片(江中)	￥12.70
消痛贴膏(奇正)	￥12.70
消炎 香港澳美 阿莫西林胶囊(阿莫灵)	￥12.80
抗菌消炎-头孢氨苄甲氧苄啶胶囊	￥12.80
舒筋活血片	￥12.80
肾病 河南省宛西制药 右归丸	￥12.80
跌打红药片	￥12.80
预防心脑血管疾病 辰欣药业股份 阿司匹林肠溶片	￥12.80
用于急、慢性胃炎缓解症状 庆大霉素普鲁卡因维12颗粒(快克泰)	￥12.80
头孢克洛胶囊(可洛)	￥12.80
阿莫西林胶囊(阿莫灵)	￥12.80
阿司匹林肠溶片(拜阿司匹林)	￥12.80
转移因子胶囊	￥12.80
咳特灵片	￥12.80
清肺抑火片  雾霾活动	￥12.80
复方门冬维甘滴眼液(闪亮)	￥12.80
金嗓清音丸	￥12.80
曲安奈德益康唑乳膏(得恩德)	￥12.80
小儿止咳糖浆(备克)	￥12.80
复方酮康唑软膏(皮康王)	￥12.80
多维片(6)(维康福)	￥12.80
乌洛托品溶液	￥12.80
杜蕾斯天然胶乳橡胶避孕套紧型装	￥12.90
香菊感冒颗粒	￥12.90
测量怀孕 深圳 验孕盒(淑女)	￥12.90
杜蕾斯避孕套(激情装)	￥12.90
金荞麦片(宁宁)	￥12.90
吲达帕胺片(京豫)	￥12.90
白癜风胶囊	￥12.90
黄芪精	￥12.90
九味羌活颗粒(九寨沟)	￥13.00
氨酚曲麻片(联邦菲迪乐)	￥13.00
酞丁安滴眼液(乐克沙)	￥13.00
冻疮膏	￥13.00
利肺片(海外制药)	￥13.00
桑菊感冒颗粒(本草纲目)	￥13.00
天然胶乳橡胶避孕套（质感超薄） 冈本	￥13.00
K1新天使避孕套(浪漫系列爽滑倍润装)	￥13.00
过敏性和自身免疫性炎症性疾病  复方醋酸地塞米松乳膏（华润三九）	￥13.00
用于阴道炎 山东方明药业股份  双唑泰阴道泡腾片	￥13.00
儿童蛔虫和蛲虫感染 磷酸哌嗪宝塔糖	￥13.00
避孕 新天使避孕套(浪漫系列极限超薄装)	￥13.00
退热 江门 B退热贴(爱婴思坦)	￥13.00
肾虚-普乐安片	￥13.00
糖尿病 正大天晴 盐酸二甲双胍缓释片	￥13.00
轻、中度呼吸泌尿系统感染 江苏方强制药 盐酸左氧氟沙星胶囊	￥13.00
K1新天使避孕套(浪漫系列温馨浮点装)	￥13.00
大便斗	￥13.00
固肠止泻丸(结肠炎丸)	￥13.00
丙戊酸钠片	￥13.00
壮骨关节丸	￥13.00
吡诺克辛滴眼液(卡林优)	￥13.00
三七化痔丸(中一牌)	￥13.00
先声咳喘宁	￥13.00
归脾丸	￥13.00
复方薄荷脑鼻用吸入剂(曼秀雷敦)	￥13.00
健儿消食口服液(江中)	￥13.00
小儿化痰止咳颗粒(好娃娃)	￥13.00
补中益气丸	￥13.00
糖尿病-盐酸二甲双胍缓释片	￥13.10
盐酸二甲双胍缓释片  哈尔滨同一堂药业 3月选品活动	￥13.10
清热泻火，养肝明目 珍珠明目滴眼液	￥13.20
氧氟沙星片(泰利必妥)	￥13.20
湿毒清胶囊	￥13.20
抗菌消炎-罗红霉素分散片	￥13.30
香砂六君丸(仲景)	￥13.30
蜜炼川贝枇杷膏(潘高寿)	￥13.40
阿莫西林维酸钾颗粒(新海店)	￥13.50
小儿麻甘颗粒	￥13.50
感冒快贴水凝胶精油贴	￥13.50
葡萄糖酸锌口服液(辅仁)	￥13.50
甲硝唑氯己定洗剂 阴道炎  皇隆	￥13.50
儿童感冒 四川省通园制药 小儿氨酚黄那敏颗粒	￥13.50
南京白敬宇 女性紧急避孕 左炔诺孕酮片	￥13.50
活血祛瘀 通脉活络 云南特安呐制药血塞通片	￥13.50
高血压 天津怀仁 替米沙坦片	￥13.50
高血压-缬沙坦胶囊	￥13.50
腹泻便秘消化不良 北京韩美 枯草杆菌二联活菌肠溶胶囊	￥13.50
祛风止痛，舒筋活血 镇江膏药 	￥13.50
缬沙坦分散片(缬欣)	￥13.50
血塞通分散片	￥13.50
枫蓼肠胃康胶囊	￥13.50
复方益肝灵片(薄膜衣)	￥13.50
盐酸左氧氟沙星滴眼液(海伦)	￥13.50
感冒疏风丸	￥13.50
感冒疏风颗粒(云昆)	￥13.50
复方对乙酰氨基酚片(散利痛)	￥13.50
板蓝清热颗粒	￥13.50
胃药胶囊(707)	￥13.50
麝香壮骨膏(上山虎)	￥13.50
感冒消炎片(薄膜衣片)	￥13.50
酮康唑乳膏	￥13.50
糠酸莫米松乳膏(芙美松)	￥13.50
复方薄荷脑软膏(曼秀雷敦)	￥13.50
肛泰软膏(荣昌肛泰)	￥13.50
生脉饮(党参方)(云丰)	￥13.50
复方氯唑沙宗片(鲁南贝特)	￥13.60
盐酸二甲双胍肠溶胶囊(将唐君)	￥13.60
盐酸丙卡特罗片(美普清)	￥13.70
胃肠炎-枫蓼肠胃康颗粒	￥13.80
人工牛黄甲硝唑胶囊	￥13.80
萘敏维滴眼液	￥13.80
川贝止咳糖浆	￥13.80
感冒疏风片	￥13.80
决明子(晟海祥)	￥13.80
云南白药酊	￥13.80
清开灵胶囊	￥13.80
含化上清片	￥13.80
关节炎类止痛 亚邦 美洛昔康分散片(奈邦)	￥13.80
胃炎 江西华太药业 止痢宁片  五折	￥13.80
断血流片 司空山 功能性子宫出血	￥13.80
酒精棉球(好易)	￥13.80
阿奇霉素片(利普奇)	￥13.80
新乐康片(立业)	￥13.80
咳特灵片(加劲)	￥13.80
蒙脱石散(备克)	￥13.80
滴通鼻炎水(博科)	￥13.80
糠酸莫米松乳膏(艾洛松乳膏)	￥13.80
云南白药创可贴(轻巧透气型)	￥13.80
妇炎洁洗液	￥13.80
护肝片(仙竹)  五折	￥13.80
夏天无片	￥13.90
氨酚伪麻美芬片/氨麻美敏片‖(日夜百服宁)	￥13.90
止咳丸	￥13.90
炎症性肠病 上海福达制药 柳氮磺吡啶肠溶片	￥14.00
强力枇杷露(新海店)	￥14.00
头孢克洛胶囊(新海店)	￥14.00
茴三硫片(胆维他片)	￥14.00
氨苄西林胶囊(安必仙)	￥14.00
摩罗丹	￥14.00
清热解毒 远达药业集团 清开灵颗粒	￥14.00
疏风活血，养血平肝，通络止痛  正天丸（华润三九）	￥14.00
洁尔阴泡腾片 阴道炎 成都恩威	￥14.00
双氯芬酸钠肠溶微粒胶囊(非言)	￥14.00
